Date,Inflow_USD_M
2024-01-11,655.30
2024-01-12,203.00
2024-01-16,-52.70
2024-01-17,453.80
2024-01-18,-126.60
2024-01-19,43.60
2024-01-22,-87.40
2024-01-23,-106.10
2024-01-24,-158.30
2024-01-25,-79.80
2024-01-26,14.80
2024-01-29,255.10
2024-01-30,247.30
2024-01-31,197.60
2024-02-01,38.50
2024-02-02,80.00
2024-02-05,68.10
2024-02-06,33.60
2024-02-07,146.00
2024-02-08,405.00
2024-02-09,541.50
2024-02-12,493.40
2024-02-13,636.30
2024-02-14,339.70
2024-02-15,477.40
2024-02-16,330.30
2024-02-20,135.60
2024-02-21,-35.60
2024-02-22,251.40
2024-02-23,232.50
2024-02-26,519.90
2024-02-27,576.90
2024-02-28,673.40
2024-02-29,92.30
2024-03-01,-139.60
2024-03-04,562.70
2024-03-05,648.30
2024-03-06,332.00
2024-03-07,472.50
2024-03-08,223.00
2024-03-11,505.40
2024-03-12,1045.00
2024-03-13,683.70
2024-03-14,132.70
2024-03-15,198.80
2024-03-18,-154.30
2024-03-19,-326.20
2024-03-20,-261.50
2024-03-21,-94.00
2024-03-22,-51.60
2024-03-25,15.40
2024-03-26,418.00
2024-03-27,243.50
2024-03-28,182.80
2024-04-01,-85.70
2024-04-02,39.50
2024-04-03,113.50
2024-04-04,213.40
2024-04-05,203.00
2024-04-08,-223.80
2024-04-09,-19.40
2024-04-10,123.70
2024-04-11,91.30
2024-04-12,-55.10
2024-04-15,-36.70
2024-04-16,-58.00
2024-04-17,-165.00
2024-04-18,-4.30
2024-04-19,59.70
2024-04-22,62.20
2024-04-23,31.60
2024-04-24,-120.60
2024-04-25,-217.60
2024-04-26,-83.60
2024-04-29,-51.60
2024-04-30,-161.60
2024-05-01,-563.70
2024-05-02,-34.40
2024-05-03,378.30
2024-05-06,217.00
2024-05-07,-15.70
2024-05-08,11.50
2024-05-09,-11.30
2024-05-10,-84.70
2024-05-13,66.00
2024-05-14,100.50
2024-05-15,303.00
2024-05-16,257.30
2024-05-17,221.50
2024-05-20,237.20
2024-05-21,305.70
2024-05-22,154.00
2024-05-23,107.90
2024-05-24,251.90
2024-05-28,45.00
2024-05-29,28.30
2024-05-30,48.80
2024-05-31,48.80
2024-06-03,105.10
2024-06-04,886.60
2024-06-05,488.10
2024-06-06,217.70
2024-06-07,131.00
2024-06-10,-64.90
2024-06-11,-200.40
2024-06-12,100.80
2024-06-13,-226.20
2024-06-14,-189.90
2024-06-17,-145.90
2024-06-18,-152.40
2024-06-20,-139.90
2024-06-21,-105.90
2024-06-24,-174.50
2024-06-25,31.00
2024-06-26,21.40
2024-06-27,11.80
2024-06-28,73.00
2024-07-01,129.50
2024-07-02,-13.70
2024-07-03,-20.50
2024-07-05,143.10
2024-07-08,294.80
2024-07-09,216.40
2024-07-10,147.40
2024-07-11,78.90
2024-07-12,310.10
2024-07-15,300.90
2024-07-16,422.50
2024-07-17,53.30
2024-07-18,37.20
2024-07-19,427.20
2024-07-22,485.90
2024-07-23,-78.00
2024-07-24,44.50
2024-07-25,31.10
2024-07-26,51.80
2024-07-29,124.10
2024-07-30,-18.30
2024-07-31,0.30
2024-08-01,50.60
2024-08-02,-237.40
2024-08-05,-168.40
2024-08-06,-148.60
2024-08-07,45.10
2024-08-08,194.60
2024-08-09,-89.70
2024-08-12,27.80
2024-08-13,39.00
2024-08-14,-81.40
2024-08-15,11.10
2024-08-16,35.90
2024-08-19,62.10
2024-08-20,88.00
2024-08-21,39.50
2024-08-22,64.80
2024-08-23,252.00
2024-08-26,202.60
2024-08-27,-127.10
2024-08-28,-105.30
2024-08-29,-71.80
2024-08-30,-175.60
2024-09-03,-287.80
2024-09-04,-37.20
2024-09-05,-211.10
2024-09-06,-170.00
2024-09-09,28.60
2024-09-10,117.00
2024-09-11,-43.90
2024-09-12,39.00
2024-09-13,263.20
2024-09-16,12.80
2024-09-17,186.80
2024-09-18,-52.70
2024-09-19,158.30
2024-09-20,92.00
2024-09-23,4.50
2024-09-24,136.00
2024-09-25,105.90
2024-09-26,365.70
2024-09-27,494.40
2024-09-30,61.30
2024-10-01,-242.60
2024-10-02,-91.70
2024-10-03,-54.20
2024-10-04,25.60
2024-10-07,235.20
2024-10-08,-18.60
2024-10-09,-40.60
2024-10-10,-120.80
2024-10-11,253.60
2024-10-14,555.90
2024-10-15,371.00
2024-10-16,458.50
2024-10-17,470.50
2024-10-18,273.70
2024-10-21,294.30
2024-10-22,-79.10
2024-10-23,192.40
2024-10-24,188.00
2024-10-25,402.00
2024-10-28,479.40
2024-10-29,870.10
2024-10-30,893.30
2024-10-31,32.30
2024-11-01,-54.90
2024-11-04,-541.10
2024-11-05,-116.80
2024-11-06,621.90
2024-11-07,1373.80
2024-11-08,293.40
2024-11-11,1114.10
2024-11-12,817.50
2024-11-13,510.10
2024-11-14,-400.70
2024-11-15,-370.00
2024-11-18,254.80
2024-11-19,829.50
2024-11-20,773.40
2024-11-21,1005.10
2024-11-22,490.30
2024-11-25,-435.30
2024-11-26,-122.80
2024-11-27,103.00
2024-11-29,320.00
2024-12-02,353.60
2024-12-03,676.00
2024-12-04,556.80
2024-12-05,766.70
2024-12-06,376.60
2024-12-09,479.10
2024-12-10,438.50
2024-12-11,223.10
2024-12-12,597.50
2024-12-13,428.90
2024-12-16,636.90
2024-12-17,493.90
2024-12-18,275.30
2024-12-19,-671.90
2024-12-20,-277.00
2024-12-23,-226.50
2024-12-24,-338.40
2024-12-26,475.20
2024-12-27,-287.90
2024-12-30,-415.10
2024-12-31,5.30
2025-01-02,-242.30
2025-01-03,908.10
2025-01-06,978.60
2025-01-07,52.40
2025-01-08,-568.80
2025-01-10,-149.40
2025-01-13,-284.10
2025-01-14,-209.80
2025-01-15,755.10
2025-01-16,626.10
2025-01-17,1072.80
2025-01-21,802.60
2025-01-22,248.70
2025-01-23,188.70
2025-01-24,517.70
2025-01-27,-457.60
2025-01-28,18.40
2025-01-29,92.00
2025-01-30,588.10
2025-01-31,318.60
2025-02-03,-234.40
2025-02-04,340.70
2025-02-05,66.40
