Date,Symbol,UnlockUSD,UnlockPctOfSupply
2023-05-31,OP,24160000.00,0.021964
2023-06-30,OP,24160000.00,0.021492
2023-07-31,OP,24160000.00,0.021039
2023-08-31,OP,24160000.00,0.020606
2023-09-30,OP,24160000.00,0.020190
2023-10-31,OP,24160000.00,0.019790
2023-11-30,OP,24160000.00,0.019406
2023-12-31,OP,24160000.00,0.019037
2024-01-31,OP,24160000.00,0.018681
2024-02-29,OP,24160000.00,0.018339
2024-03-16,ARB,92652008.00,0.018530
2024-03-31,OP,24160000.00,0.018008
2024-04-16,ARB,92652008.00,0.018193
2024-04-30,OP,24160000.00,0.017690
2024-05-16,ARB,92652008.00,0.017868
2024-05-31,OP,24160000.00,0.017382
2024-06-16,ARB,92652008.00,0.017555
2024-06-30,OP,24160000.00,0.017085
2024-07-16,ARB,92652008.00,0.017252
2024-07-31,OP,24160000.00,0.016798
2024-08-16,ARB,92652008.00,0.016959
2024-08-31,OP,24160000.00,0.016521
2024-09-16,ARB,92652008.00,0.016676
2024-09-30,OP,24160000.00,0.016252
2024-10-16,ARB,92652008.00,0.016403
2024-10-31,OP,24160000.00,0.015992
2024-11-16,ARB,92652008.00,0.016138
2024-11-30,OP,24160000.00,0.015741
2024-12-16,ARB,92652008.00,0.015882
2024-12-31,OP,24160000.00,0.015497
2025-01-16,ARB,92652008.00,0.015633
2025-01-31,OP,24160000.00,0.015260
2025-02-16,ARB,92652008.00,0.015393
2025-02-28,OP,24160000.00,0.015031
2025-03-16,ARB,92652008.00,0.015159
2025-03-31,OP,24160000.00,0.014808
2025-04-16,ARB,92652008.00,0.014933
2025-04-30,OP,24160000.00,0.014592
2025-05-16,ARB,92652008.00,0.014713
2025-05-31,OP,24160000.00,0.014382
2025-06-16,ARB,92652008.00,0.014500
2025-06-30,OP,24160000.00,0.014178
2025-07-16,ARB,92652008.00,0.014293
2025-07-31,OP,24160000.00,0.013980
2025-08-16,ARB,92652008.00,0.014091
2025-08-31,OP,24160000.00,0.013787
2025-09-16,ARB,92652008.00,0.013896
2025-09-30,OP,24160000.00,0.013600
2025-10-16,ARB,92652008.00,0.013705
2025-10-31,OP,24160000.00,0.013417
2025-11-16,ARB,92652008.00,0.013520
2025-11-30,OP,24160000.00,0.013240
2025-12-16,ARB,92652008.00,0.013339
2025-12-31,OP,24160000.00,0.013067
2026-01-16,ARB,92652008.00,0.013164
2026-01-31,OP,24160000.00,0.012898
2026-02-16,ARB,92652008.00,0.012993
2026-02-28,OP,24160000.00,0.012734
2026-03-16,ARB,92652008.00,0.012826
2026-03-31,OP,24160000.00,0.012574
2026-04-16,ARB,92652008.00,0.012664
2026-04-30,OP,24160000.00,0.012418
2026-05-16,ARB,92652008.00,0.012505
2026-05-31,OP,24160000.00,0.012265
2026-06-16,ARB,92652008.00,0.012351
2026-07-16,ARB,92652008.00,0.012200
2026-08-16,ARB,92652008.00,0.012053
2026-09-16,ARB,92652008.00,0.011910
2026-10-16,ARB,92652008.00,0.011770
2026-11-16,ARB,92652008.00,0.011633
2026-12-16,ARB,92652008.00,0.011499
2027-01-16,ARB,92652008.00,0.011368
2027-02-16,ARB,92652008.00,0.011240
2027-03-16,ARB,92652008.00,0.011115
