iter	Logloss
0	0.6852282369
1	0.6795620965
2	0.671736969
3	0.6646420272
4	0.6521969728
5	0.6330623868
6	0.622488244
7	0.6080748059
8	0.5998574224
9	0.5921904076
10	0.5864975642
11	0.5788127255
12	0.5630819016
13	0.555124049
14	0.5441454825
15	0.5397417437
16	0.5265517053
17	0.5167240592
18	0.5115581373
19	0.5050057704
20	0.4980268151
21	0.4934352682
22	0.488433444
23	0.4809676545
24	0.4708871203
25	0.4651786235
26	0.4597295919
27	0.4576826781
28	0.4529478499
29	0.4497152559
30	0.4436283478
31	0.4396182462
32	0.4344043446
33	0.4305023042
34	0.4265062775
35	0.4206952114
36	0.4130015266
37	0.4084157346
38	0.4032429397
39	0.3997262494
40	0.3928007328
41	0.3880576174
42	0.3829338216
43	0.3784166613
44	0.3718271997
45	0.3658565083
46	0.3620431596
47	0.3605206351
48	0.3578007561
49	0.3507370554
50	0.3459138972
51	0.3396013628
52	0.3365440805
53	0.3331253885
54	0.3298617837
55	0.327276603
56	0.3249606215
57	0.3235270846
58	0.3209706128
59	0.3167920398
60	0.3120272201
61	0.3069120074
62	0.3016347358
63	0.2976174652
64	0.2948885757
65	0.2922684707
66	0.2884224011
67	0.2861233885
68	0.2807497629
69	0.2782790231
70	0.2728296791
71	0.2717022553
72	0.2686508265
73	0.2658690409
74	0.2635024325
75	0.2593078114
76	0.2561419088
77	0.251440229
78	0.2499975829
79	0.2470083568
80	0.2446249439
81	0.2404341211
82	0.2387882273
83	0.2372463169
84	0.2332822054
85	0.2299036664
86	0.2261606101
87	0.2228976794
88	0.2195402527
89	0.2183844817
90	0.2142105126
91	0.2100670775
92	0.2089425311
93	0.2057490378
94	0.2039699585
95	0.2003115489
96	0.1993404948
97	0.197269361
98	0.1947526639
99	0.1928513663
