iter	Passed	Remaining
0	1	141
1	2	122
2	3	113
3	4	107
4	5	104
5	6	101
6	7	98
7	8	96
8	9	95
9	10	93
10	11	91
11	12	90
12	13	89
13	14	87
14	15	86
15	16	84
16	17	83
17	18	82
18	19	81
19	20	80
20	21	79
21	22	78
22	22	76
23	23	75
24	24	74
25	25	73
26	26	72
27	27	71
28	28	70
29	29	69
30	30	68
31	31	67
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	58
40	40	57
41	41	56
42	42	55
43	43	54
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	50	47
52	51	46
53	52	45
54	53	44
55	54	43
56	55	42
57	56	41
58	57	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	76	21
78	77	20
79	78	19
80	78	18
81	79	17
82	79	16
83	80	15
84	80	14
85	81	13
86	81	12
87	81	11
88	82	10
89	82	9
90	83	8
91	83	7
92	84	6
93	85	5
94	85	4
95	86	3
96	86	2
97	87	1
98	87	0
99	87	0
